Id;ChapterId;Name;Text;Transcription;Translation;Comment;Order;Audio;AudioSanskrit
1;1;1.1;"धृतराष्ट्र उवाच ।
धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः ।
मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय ॥१॥";"дхр̣тара̄ш̣т̣ра ува̄ча
дхарма-кш̣етре куру-кш̣етре, самавета̄ йуйутсавах̣
ма̄мака̄х̣ па̄н̣д̣ава̄ш́ чаива, ким акурвата сан̃джайа";"Дхритараштра сказал:
Санджая! Что произошло, когда мои сыновья и сыновья Панду сошлись для битвы на священной земле Курукшетры?";NULL;1;/Files/76f01c2e659c424aa116a22f54800028.mp3;/Files/3b9b7603ba184a65836fd841bee30f8e.mp3
2;1;1.2;"सञ्जय उवाच ।
दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा ।
आचार्यमुपसङ्गम्य राजा वचनमब्रवीत्  ॥२॥";"сан̃джайа ува̄ча
др̣ш̣т̣ва̄ ту па̄н̣д̣ава̄нӣкам̇, вйӯд̣хам̇ дурйодханас тада̄
а̄ча̄рйам упасан̇гамйа, ра̄джа̄ вачанам абравӣт";"Санджая ответил:
Окинув взором воинов армии Пандавов, выстроенных в боевом порядке, царь Дурьодхана приблизился к своему учителю Дроначарье и обратился к нему со следующими словами.";NULL;2;/Files/6c42b399a46b40c1a7f830e523cb5a54.mp3;/Files/b1c350d8b2ae4cf8b864170f9286db77.mp3
3;1;1.3;"पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् ।
व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता ॥३॥";"паш́йаита̄м̇ па̄н̣д̣у-путра̄н̣а̄м, а̄ча̄рйа махатӣм̇ чамӯм
вйӯд̣ха̄м̇ друпада-путрен̣а, тава ш́иш̣йен̣а дхӣмата̄";Учитель! Посмотри на великое войско Пандавов, выстроенное в боевом порядке твоим выдающимся учеником Дхриштадьюмной, сыном Друпады.;NULL;3;/Files/3a37e8e94922476bba8e8e9fcdbbd251.MP3;/Files/88e8c8da70574aeaacc4e36251b068b5.mp3
4;1;1.4-6;"अत्र शूरा महेष्वासा भीमार्जुनसमा युधि ।
युयुधानो विराटश्च द्रुपदश्च महारथः ॥४॥
धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् ।
पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गवः ॥५॥
युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् ।
सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः  ॥६॥";"атра ш́ӯра̄ махеш̣ва̄cа̄, бхӣма̄рджуна-сама̄ йудхи
йуйудха̄но вира̄т̣аш́ ча, друпадаш́ ча маха̄-ратхах̣
дхр̣ш̣т̣акетуш́ чекита̄нах̣, ка̄ш́ира̄джаш́ ча вӣрйава̄н
пуруджит кунтибходжаш́ ча, ш́аибйаш́ ча нара-пун̇гавах̣
йудха̄манйуш́ ча викра̄нта, уттамауджа̄ш́ ча вӣрйава̄н
саубхадро драупадейа̄ш́ ча, сарва эва маха̄-ратха̄х̣";В этой армии великие лучники Бхима и Арджуна, а также другие, столь же искусные в бою: Сатьяки, царь Вирата, могущественный воин Друпада, Дхриштакету, Чекитана, доблестный царь Каши, Пуруджит, Кунтибходжа, благородный царь Шайбья, отважный Юдхаманью, великий герой Уттамауджа, Абхиманью и сыновья Драупади. Несомненно, все они — великие воины.;NULL;4;/Files/a7f2ce9075ae43d382c5ae9123618047.MP3;/Files/357377bd702549858b296a76bdb90975.mp3
5;1;1.7;"अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम ।
नायका मम सैन्यस्य संज्ञार्थं तान्ब् ब्रवीमि ते ॥७॥";"асма̄кам̇ ту виш́иш̣т̣а̄ йе, та̄н нибодха двиджоттама
на̄йака̄ мама саинйасйа, сам̇джн̃а̄ртхам̇ та̄м бравӣми те";Лучший из дваждырожденных, услышь также о самых выдающихся предводителях моих армий. Сейчас я назову тебе их имена!;NULL;5;/Files/5d5be6f0936f4093b7e9398e4b115e71.MP3;/Files/dbca7864c0744bbdbf22b9f7d042eac1.mp3
6;1;1.8-9;"भवान् भीष्मश्च कर्णश्च कृपश्च समितिंजयः ।
अश्वत्थामा विकर्णश्च सौमदत्तिर्जयद्रथः ॥ ८ ॥
अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः ।
नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः  ॥९॥";"бхава̄н бхӣш̣маш́ ча карн̣аш́ ча, кр̣паш́ ча самитин̃джайах̣
аш́ваттха̄ма̄ викарн̣аш́ ча, саумадаттир джайадратхах̣
анйе ча бахавах̣ ш́ӯра̄, мад-артхе тйакта-джӣвита̄х̣
на̄на̄-ш́астра-прахаран̣а̄х̣, сарве йуддха-виш́а̄рада̄х̣";Кроме тебя, о почтенный, это Бхишма и Карна, не знающий поражения в бою Крипачарья, Ашваттхама, Викарна, Бхуришрава и Джаядратха, а также многие другие воины, сведущие в военном искусстве. Все они прекрасно владеют различным оружием и полны решимости отдать за меня свои жизни.;NULL;6;/Files/27b2448aeea44ae5ae586dd6fddaec1e.MP3;/Files/2b3eed8775be4b2db45370c9bd32955d.mp3
7;1;1.10;"अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम् ।
पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम्  ॥१०॥";"апарйа̄птам̇ тад асма̄кам̇, балам̇ бхӣш̣ма̄бхиракш̣итам
парйа̄птам̇ тв идам этеш̣а̄м̇, балам̇ бхӣма̄бхиракш̣итам";Сила нашего войска безгранична благодаря надежной защите Бхишмы, тогда как сила войска Пандавов, которое защищает Бхима, ограничена.;NULL;7;/Files/062a515cd5ac4949b5394a11efef0274.MP3;/Files/11de5ba9213342139c8ccc7fec3c3255.mp3
8;1;1.11;"अयनेषु च सर्वेषु यथाभागमवस्थिताः ।
भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि  ॥११॥";"айанеш̣у ча сарвеш̣у, йатха̄-бха̄гам авастхита̄х̣
бхӣш̣мам эва̄бхиракш̣анту, бхавантах̣ сарва эва хи";Поэтому все мы, находясь на своих позициях, должны во время битвы всячески оберегать Бхишму.;NULL;8;/Files/a61715f515d6423e882ed2002f26aef5.MP3;/Files/d858b39a54ab407ea5f94747ebbe0777.mp3
9;1;1.12;"तस्य सञ्जनयन् हर्षं कुरुवृद्धः पितामहः ।
सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान्  ॥१२॥";"тасйа сан̃джанайан харш̣ам̇, куру-вр̣ддхах̣ пита̄махах̣
сим̇ха-на̄дам̇ винадйоччаих̣, ш́ан̇кхам̇ дадхмау прата̄пава̄н";Желая воодушевить Дурьодхану, Бхишма, старейшина династии Куру, громко затрубил в свою раковину, звук которой был подобен львиному рыку.;NULL;9;/Files/3eb3428cbee74c5ca9436b25baa5ca10.MP3;/Files/9c9be66747124de295f1cd64f2cdd140.mp3
10;1;1.13;"ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः ।
सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत्  ॥१३॥";"татах̣ ш́ан̇кха̄ш́ ча бхерйаш́ ча, пан̣ава̄нака-гомукха̄х̣
сахасаива̄бхйаханйанта, са ш́абдас тумуло ’бхават";В тот же миг разом зазвучали раковины, литавры, барабаны, рога и другие инструменты, создавая оглушительный шум.;NULL;10;/Files/e1d91f9d5c014058a61bbaf76a12ede6.MP3;/Files/2a0e5a7cf4af4e04926d4abaf3776aec.mp3
11;1;1.14;"ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ ।
माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः  ॥१४॥";"татах̣ ш́ветаир хайаир йукте, махати сйандане стхитау
ма̄дхавах̣ па̄н̣д̣аваш́ чаива, дивйау ш́ан̇кхау прададхматух̣";Тогда Господь Шри Кришна и Арджуна, возвышаясь в величественной колеснице, запряженной белыми лошадьми, затрубили в свои божественные раковины.;NULL;11;/Files/4e0a0412413247f0acb1e7dc08d837cc.MP3;/Files/5f2d8602b98e4d0f996a0d9a4e158ad3.mp3
12;1;1.15;"पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जयः ।
पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः  ॥१५॥";"па̄н̃чаджанйам̇ хр̣ш̣ӣкеш́о, девадаттам̇ дханан̃джайах̣
паун̣д̣рам̇ дадхмау маха̄-ш́ан̇кхам̇, бхӣма-карма̄ вр̣кодарах̣";Хришикеша (Шри Кришна) затрубил в Свою раковину Панчаджанью, Дхананджая (Арджуна) — в раковину Девадатту. А Бхимасена, ненасытный едок, известный своими славными подвигами, затрубил в огромную раковину Паундру.;NULL;12;/Files/c60597839f7d4fe180174f868d47fb34.MP3;/Files/99962cfa4fa24f219d770574c7beb3ba.mp3
13;1;1.16;"अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः ।
नकुलः सहदेवश्च सुघोषमणिपुष्पकौ  ॥१६॥";"анантавиджайам̇ ра̄джа̄, кунтӣ-путро йудхиш̣т̣хирах̣
накулах̣ сахадеваш́ ча, сугхош̣а-ман̣ипуш̣пакау";Царь Юдхиштхира, сын Кунти, затрубил в раковину Анантавиджаю. Накула затрубил в Сугхошу, а Сахадева — в Манипушпаку.;NULL;13;/Files/837d8a208e81447e8818e35040242b21.MP3;/Files/7dbc0264f71d448e85fbcf8a74e58ec7.mp3
14;1;1.17-18;"काश्यश्च परमेष्वासः शिखण्डी च महारथः ।
धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः  ॥१७॥
द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते ।
सौभद्रश्च महाबाहुः शङ्खान् दध्मुः पृथक् पृथक्  ॥१८॥";"ка̄ш́йаш́ ча парамеш̣в-а̄сах̣, ш́икхан̣д̣ӣ ча маха̄-ратхах̣
дхр̣ш̣т̣адйумно вира̄т̣аш́ ча, са̄тйакиш́ ча̄пара̄джитах̣
друпадо драупадейа̄ш́ ча, сарваш́ах̣ пр̣тхивӣ-пате
саубхадраш́ ча маха̄-ба̄хух̣, ш́ан̇кха̄н дадхмух̣ пр̣тхак пр̣тхак";О повелитель Земли! Искусный лучник Кашираджа, великий воин Шикханди, Дхриштадьюмна, царь Вирата, непобедимый Сатьяки, царь Друпада, сыновья Драупади и могучий Абхиманью, сын Субхадры, также подули в свои раковины.;NULL;14;/Files/c3ba406526244126bac5a4119767dec6.MP3;/Files/d3561f0c42774e54b67c865c1131f8c4.mp3
