Id,LanguageId,Author,Text,IsDay
3,1,Bhagavad Gita,"Know that all species, either moving or stationary, are manifest from these two natures as the field of action and the knower of the field; and I alone am the cause of the manifestation and dissolution of the entire universe.",0
4,3,Bhagavad Gita,"  O Sohn Kuntis, wer stets an etwas Bestimmtes gedacht hat, wird sich dessen zum Zeitpunkt des Todes erinnern und dies nach dem Verlassen des Korpers erreichen.",0
5,2,Dec 01,"Желая воодушевить Дурьодхану, Бхишма, старейшина династии Куру, громко затрубил в свою раковину, звук которой был подобен львиному рыку.",0
6,1,Dec 01,"Then, with a war-cry like the roar of a lion, the venerable elder, Bhisma, loudly blew his conchshell to encourage Duryodhana. ",0
7,3,Dec 01,"Dann, mit einem Schlachtruf, der dem Brullen eines Lowen glich, blies der ehrwurdige Alteste Bhisma laut sein Muschelhorn, um Duryodhana zu ermutigen.",1
8,2,01/19,"Громоподобный звук этих раковин, раскатившись эхом по земле и небу, заставил содрогнуться сердца сыновей Дхритараштры.",0
9,1,01/19,"Resounding throughout the land and heavens, the tremendous vibration of those conchshells pierced the hearts of the sons of Dhrtarastra.",0
10,3,01/19,"Durch Land und Himmel widerhallend, durchbohrte die furcht-bare Klangschwingung dieser Muschelhorner die Herzen der Sohne Dhrtarastras.",0
11,2,1.21-23,"Арджуна сказал: О Непогрешимый! Выведи мою колесницу на середину поля и поставь между двумя армиями, чтобы я смог увидеть воинов, желающих сразиться с нами. Я хочу посмотреть на тех, кто пришел биться со мной, приняв сторону злонамеренного Дурьодханы.",0
12,1,1.21-23,"O Krsna, please place my chariot between the two armies so I may observe the warriors with whom I must contend on this battlefield,and who have come to fight for the satisfaction of the wicked Duryodhana.",0
13,3,1.21-23,"O Krsna, bitte fahre meinen Streitwagen zwischen die bei-den Armeen, sodass ich die Krieger betrachten kann, mit denen ich hier auf diesem Schlachtfeld streiten muss und die gekommen sind, um fur die Zufriedenheit des gottlosen Duryodhana zu kampfen.",0
29,1,Henry David Thoreau on Mahabharata,"Read not the times, read the eternities.",0
30,1,"Henry David Thoreau, Walden",What did Gandhi and Tolstoy have in common?—Both read Bhagavad-Gita daily.,0
31,1,Mahatma Gandhi,"The Gita has sung the praises of Knowledge, but it is beyond the mere intellect; it is essentially addressed to the heart and capable of being understood by the heart.",0
32,1, Arthur Schopenhauer, It is the most rewarding and elevating reading possible: it has been the comfort of my life and it will be the one of my death. ,0
33,1,Mahatma Gandhi,"Where there is possessiveness, there is violence. ",0
34,1,quote of the day,"For those who practice yoga, the mind is the best of friends, but for one who has no self-control, the mind is the worst of enemies.",0
35,1,quote of the day, Lust tends to anger and hate; and hate is the greatest sin - the enemy of all the world.,0
36,2,Лев Толстой,"Я твердо верю в основной принцип Бхагавад-Гиты, всегда стараюсь помнить его и руководствоваться им в своих действиях, а также говорить о нем тем, кто спрашивает мое мнение, и отражать его в своих сочинениях.",0
37,2,Лев Толстой,"Если бы не было Кришны, не было бы нашего понятия о Боге.",0
38,2,Лев Толстой,"Все учение и вся жизнь Кришны есть только любовь. Кришна не принимает ничего, кроме любви, действует только любовью, дышит только ею и говорит только ею.",0
39,2,Лев Толстой,Метафизическая религиозная идея Кришны есть вечная и универсальная основа всех истинных философских систем и всех религий.,0
40,2,Александр Мень,Когда читаешь Гиту после Упанишад — ощущаешь тепло и интимность живой встречи души с Высшим.,0
41,2,Александр Мень,"И хотя философски Гита тесно связана с „тайным учением“ брахманов, Бог для нее не только абстрактное понятие или безличный Абсолют, для достижения которого нужно утратить свое „я“: Он — личностный Бог.",0
42,2,Александр Мень,"Высшей религией Бхагавад-Гита провозглашает веру в Единого и Истинного; высшим мерилом этики — бхакти, преданность Ему, упование на Него, служение Ему.",0
43,2,Александр Мень,"Согласно Кришне, к совершенству ведет не только мистическое отрешение, но и бхакти — любовь, благоговение, вера. Всякий, кто с доверчивым сердцем прибегает к Богу, не погибнет, кем бы он ни был.",0
45,2,Александр Мень,"Любовь человека не тщетна, молитва его не бессмысленна, упование его не ложно. Бхакти [преданность Всевышнему] подобна нежному растению, которое тянется к солнцу, и с вышины ему навстречу несутся солнечные лучи. ",0
46,2,Александр Мень,"Для Неба уже как бы не существует земных различий и условностей. Члены разных каст, мужчины и женщины, все призываются в чертог высшей Любви.",0
47,2,Генри Дэвид Торо,"Каждое утро я омываю свой разум в величественной, космогонической философии Бхагавад-Гиты, в сравнении с которой весь наш современный мир с его литературой выглядят беспомощными и бледными.",0
48,2,Олдос Хаксли,"Бхагавад-Гита — наиболее полная энциклопедия духовного развития, совершенное выражение ценностей, без которых немыслимо существование человечества.",0
49,2,Олдос Хаксли  ,"Это одно из наиболее ясных и всесторонних философских учений. Оно дает поразительную панораму духовных и интеллектуальных поисков, поэтому всегда будет иметь величайшую ценность не только для Индии, но и для всего человечества.",0
50,2,Альберт Швейцер  ,"Бхагавад-Гита оказала глубочайшее влияние на жизнь всего человечества, поскольку учит, как предаться Богу и посвятить Ему свою жизнь.",0
51,2,Карл Густав Юнг,"Бхагавад-Гита сравнивает человека с перевернутым деревом, корни которого растут сверху, из неба. Эта идея прошла через века.",0
52,2,Карл Густав Юнг,"Сходство с ведическими представлениями прослеживается у Платона в „Тимее“, где он говорит: „...ибо мы, люди, суть не земные, а небесные растения.",0
53,2,Герман Гессе,"Чудо Бхагавад-Гиты в том, что в ней практические советы, житейская мудрость помогают постичь божественное откровение. ",0
54,2,Герман Гессе,"Это дивное откровение, эта мудрость жизни, эта философия, достигающая своего наивысшего расцвета в религии, — это то, что мы ищем и в чем нуждаемся.",0
56,1,"Henry David Thoreau, Walden","In the morning I bathe my intellect in the stupendous and cosmogonal philosophy of the Bhagvat Geeta, since whose composition years of the gods have elapsed, and in comparison with which our modern world and its literature seem puny and trivial.",0
58,1,quote of the day,What did Gandhi and Tolstoy have in common?—Both read Bhagavad-Gita daily.,0
59,1,"Mahatma Gandhi, The Bhagavad Gita According to Gandhi",He who is ever brooding over result often loses nerve in the performance of his duty. He becomes impatient and then gives vent to anger and begins to do unworthy things; he jumps from action to action never remaining faithful to any. ,0
60,1,"Mahatma Gandhi, The Bhagavad Gita According to Gandhi","He who broods over results is like a man given to objects of senses; he is ever distracted, he says goodbye to all scruples, everything is right in his estimation and he therefore resorts to means fair and foul to attain.",0
61,1,"Mahatma Gandhi, The Bhagavad Gita According to Gandhi","The Gita has sung the praises of Knowledge, but it is beyond the mere intellect; it is essentially addressed to the heart and capable of being understood by the heart.",0
63,1,Arthur Schopenhauer,It is the most rewarding and elevating reading possible: it has been the comfort of my life and it will be the one of my death.,0
64,1,"Mahatma Gandhi, The Bhagavad Gita According to Gandhi","Where there is possessiveness, there is violence.",0
65,1,quote of the day,"For those who practice yoga, the mind is the best of friends, but for one who has no self-control, the mind is the worst of enemies.",0
66,1,quote of the day,Lust tends to anger and hate; and hate is the greatest sin - the enemy of all the world.,0
67,1,quote of the day,Dexterity in duty is Dharma. Charity is the best source of fame.  Truth is the path to Heaven. Good conduct leads to happiness.,0
70,1,quote of the day,"A man lives as long as his reputation, as long as there is talk of his good deeds in heaven or on earth.",0
80,2,Альберт Швейцер,"Бхагавад-Гита оказала глубочайшее влияние на жизнь всего человечества, поскольку учит, как предаться Богу и посвятить Ему свою жизнь.",0
81,2,Махатма Ганди,"Когда меня охватывают сомнения, когда разочарования следуют одно за другим, и не видно луча надежды на горизонте, я обращаюсь к Бхагавад-Гите и нахожу стих, приносящий успокоение. Я сразу же начинаю улыбаться, забывая о переполнявшей меня печали. ",0
82,2,Махатма Ганди,"Те, кто размышляют над Гитой, постоянно черпают в ней радость и открывают в ней новый смысл.",0
83,2,Шрила Бхакти Судхир Госвами Махарадж,"Слово “гита” - означает песня, а “Бхагават” - в данном случае указывает на “Бхагана”, то есть на Шри Кришну. ",0
84,2,Шрила Бхакти Судхир Госвами Махарадж,"И послание Бхагават-Гиты в целом таково, что нам советуют не пытаться изменить окружающий мир, но нам говорят, что вы более рационально используете свою энергию, если вы попытаетесь изменить себя внутри. ",0
85,2,Шрила Бхакти Судхир Госвами Махарадж,В знаменитом стихе из Бхагават-Гиты Кришна анализирует или приводит последовательный анализ приводя нас к миру души. ,0
86,2,Шрила Бхакти Судхир Госвами Махарадж,"Поэтому общая мысль этого произведения Бхагават-Гиты такова - постарайся исправить себя, исцели себя.",0
87,2,Шрипад Бхакти Ашрая Данди Махарадж,"В Гите также говорится, что высшая форм бескорыстия на самом деле - это распространение знания, духовного знания. Духовное знание не отлично о чистой любви к Богу. ",0
88,2,Шрипад Бхакти Ашрая Данди Махарадж,"Если говорить о добре и зле как оно понимается в Бхагават-Гите - это добро и зло в самом высшем своем, в самом своем полном, можно сказать, радикальном проявлении добра, не просто в каком-то проявлении бытовом, чуть-чуть… ",0
89,2,Шрипад Бхакти Ашрая Данди Махарадж,"Таково заключение всей Бхагават-Гиты - чистая преданность Богу и ничто меньшее, все остальное будет несовершенным. А поскольку мы не можем по своей природе удовлетвориться несовершенным, потому что мы по своей природе - совершенны, мы - часть совершенного.",0
90,2,Шрипад Бхакти Ранджан Мадхусудан Махарадж,"Я могу сказать точно, наверняка, потому что очень много лет прожил в Индии, куда бы вы там не отправились - на север и на юг, на запад или на восток, если вы в любом доме упомяните о Бхагават-Гите, то все почтительно склонятся.",0
91,2,Шрипад Бхакти Ранджан Мадхусудан Махарадж,"Это замечательная книга, эта книга - кладезь духовной мудрости. ",0
92,2,Шрила Бхакти Виджай Тривикрама Махарадж,"Гита для меня очень важна, потому что я помню, что это-благословение. ",0
